Beg_Yr_Date,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES
1/1/2013,MP,Northern Mariana Islands,69,1868,,
1/1/2014,MP,Northern Mariana Islands,69,1951,,
1/1/2015,MP,Northern Mariana Islands,69,2035,,
1/1/2016,MP,Northern Mariana Islands,69,2132,,
1/1/2017,MP,Northern Mariana Islands,69,2236,,
1/1/2018,MP,Northern Mariana Islands,69,2354,2342,13
1/1/2019,MP,Northern Mariana Islands,69,2492,,
1/1/2020,MP,Northern Mariana Islands,69,2659,2641,18
1/1/2021,MP,Northern Mariana Islands,69,2809,2788,21
1/1/2022,MP,Northern Mariana Islands,69,2953,2926,27
1/1/2013,MS,Mississippi,28,535139,467303,67836
1/1/2014,MS,Mississippi,28,547632,473966,73666
1/1/2015,MS,Mississippi,28,558680,477199,81481
1/1/2016,MS,Mississippi,28,569150,479783,89367
1/1/2017,MS,Mississippi,28,580012,481209,98804
1/1/2018,MS,Mississippi,28,590989,480072,110917
1/1/2019,MS,Mississippi,28,601628,479366,122262
1/1/2020,MS,Mississippi,28,609795,464521,145275
1/1/2021,MS,Mississippi,28,614598,431483,183116
1/1/2022,MS,Mississippi,28,621865,404693,217172
1/1/2013,MT,Montana,30,188265,158827,29438
1/1/2014,MT,Montana,30,194689,161275,33414
1/1/2015,MT,Montana,30,201229,164516,36713
1/1/2016,MT,Montana,30,208306,167088,41218
1/1/2017,MT,Montana,30,215492,170955,44537
1/1/2018,MT,Montana,30,223046,181766,41280
1/1/2019,MT,Montana,30,230309,185893,44417
1/1/2020,MT,Montana,30,237744,188972,48772
1/1/2021,MT,Montana,30,244107,188073,56034
1/1/2022,MT,Montana,30,249875,186418,63457
1/1/2013,NC,North Carolina,37,1661661,1320233,341428
1/1/2014,NC,North Carolina,37,1718289,1229407,488882
1/1/2015,NC,North Carolina,37,1770736,1244594,526142
1/1/2016,NC,North Carolina,37,1823035,1262678,560358
1/1/2017,NC,North Carolina,37,1877420,1275239,602181
1/1/2018,NC,North Carolina,37,1931885,1265149,666736
1/1/2019,NC,North Carolina,37,1985259,1246728,738532
1/1/2020,NC,North Carolina,37,2035577,1211374,824203
1/1/2021,NC,North Carolina,37,2077983,1148968,929015
